이름인 것처럼 보이는 종목은 다음과 같습니다.

1. 종목코드 : INTU, 종목 이름 : Intuit, 변동폭 : -0.42%, 주가 : 646.469970703125$, 거래량 : 1125100
2. 종목코드 : UPS, 종목 이름 : UPS, 변동폭 : -1.94%, 주가 : 125.61000061035156$, 거래량 : 5739400
3. 종목코드 : INTC, 종목 이름 : Intel, 변동폭 : -0.14%, 주가 : 20.920000076293945$, 거래량 : 78289700
4. 종목코드 : NVDA, 종목 이름 : NVIDIA, 변동폭 : -1.49%, 주가 : 142.44000244140625$, 거래량 : 187969300
5. 종목코드 : ^VIX, 종목 이름 : VIX, 변동폭 : -6.24%, 주가 : 12.770000457763672points, 거래량 : 0
6. 종목코드 : ZW=F, 종목 이름 : Wheat, 변동폭 : +0.22%, 주가 : 558.0￠/bu, 거래량 : 1790
7. 종목코드 : ^N225, 종목 이름 : Nikkei 225, 변동폭 : -0.34%, 주가 : 39197.5703125points, 거래량 : 0
8. 종목코드 : ^HSI, 종목 이름 : Hang Seng, 변동폭 : +0.69%, 주가 : 19868.779296875points, 거래량 : 0
9. 종목코드 : WMT, 종목 이름 : Walmart, 변동폭 : +0.17%, 주가 : 95.69999694824219$, 거래량 : 18793500
10. 종목코드 : ^FTSE, 종목 이름 : FTSE 100, 변동폭 : -0.49%, 주가 : 8308.599609375points, 거래량 : 1058504800
11. 종목코드 : ADI, 종목 이름 : Analog Devices, 변동폭 : +1.62%, 주가 : 218.1999969482422$, 거래량 : 3189400
12. 종목코드 : MMM, 종목 이름 : 3M, 변동폭 : -0.11%, 주가 : 133.11000061035156$, 거래량 : 1912300
13. 종목코드 : NG=F, 종목 이름 : Natural Gas, 변동폭 : -0.67%, 주가 : 3.23799991607666$/MMBtu, 거래량 : 17780
